AUDIO_FILE,REACTION_TIME,FREQUENCY_R,ID,BLOCK_4,ORDER,LIST,CONDITION,ITEM,PICTURE,WORD_FRENCH,RESPONSE,CATEGORY,NEW_PIC,TYPE_OF_ERROR,NO_RESPONSE,SEM1,ERROR,CATEGORY_RESPONSE
sub04_PICTURE_116.wav,873.3,HIGH,sub04,1,1,1,Category,160,PICTURE_116,feu,feu,nature,0,,0,0,0,0
sub01_PICTURE_116.wav,1006,HIGH,sub01,1,1,1,Category,160,PICTURE_116,feu,feu,nature,0,,0,0,0,0
sub23_PICTURE_116.wav,1120.2,HIGH,sub23,1,1,1,Category,160,PICTURE_116,feu,feu,nature,0,,0,0,0,0
sub06_PICTURE_116.wav,1558.7,HIGH,sub06,1,1,1,Category,160,PICTURE_116,feu,flamme,nature,0,SYN,0,0,0,0
sub09_PICTURE_388.wav,733.3,HIGH,sub09,1,1,3,Basic,353,PICTURE_388,sac,sac,accessoires,0,,0,0,0,0
sub15_PICTURE_388.wav,748,HIGH,sub15,1,1,3,Basic,353,PICTURE_388,sac,sac,accessoires,0,,0,0,0,0
sub20_PICTURE_388.wav,873.3,HIGH,sub20,1,1,4,Category,353,PICTURE_388,sac,sac,accessoires,0,,0,0,0,0
sub08_PICTURE_388.wav,924.9,HIGH,sub08,1,1,3,Basic,353,PICTURE_388,sac,sac,accessoires,0,,0,0,0,0
sub10_PICTURE_388.wav,958,HIGH,sub10,1,1,3,Basic,353,PICTURE_388,sac,sac,accessoires,0,,0,0,0,0
sub21_PICTURE_388.wav,1035.4,HIGH,sub21,1,1,4,Category,353,PICTURE_388,sac,sac,accessoires,0,,0,0,0,0
sub22_PICTURE_388.wav,1050.2,HIGH,sub22,1,1,4,Category,353,PICTURE_388,sac,sac,accessoires,0,,0,0,0,0
sub11_PICTURE_248.wav,,HIGH,sub11,1,1,5,Category,86,PICTURE_248,charrette,no_response,véhicules,0,NONE,1,0,1,0
sub03_PICTURE_47.wav,976.5,HIGH,sub03,1,1,2,Basic,136,PICTURE_47,désert,désert,nature,0,,0,0,0,0
sub07_PICTURE_47.wav,1006,HIGH,sub07,1,1,2,Basic,136,PICTURE_47,désert,désert,nature,0,,0,0,0,0
sub02_PICTURE_47.wav,1223.4,HIGH,sub02,1,1,2,Basic,136,PICTURE_47,désert,désert,nature,0,,0,0,0,0
sub16_PICTURE_47.wav,1772.4,HIGH,sub16,1,1,2,Basic,136,PICTURE_47,désert,désert,nature,0,,0,0,0,0
sub05_PICTURE_47.wav,1931,HIGH,sub05,1,1,2,Basic,136,PICTURE_47,désert,désert,nature,0,,0,0,0,0
sub14_PICTURE_248.wav,,HIGH,sub14,1,1,5,Category,86,PICTURE_248,charrette,no_response,véhicules,0,NONE,1,0,1,0
sub18_PICTURE_530.wav,1072.3,HIGH,sub18,1,1,6,Category,27,PICTURE_530,barrière,portail,constructions,0,SEM1,0,1,1,0
sub19_PICTURE_530.wav,1168.1,HIGH,sub19,1,1,6,Category,27,PICTURE_530,barrière,portail,constructions,0,SEM1,0,1,1,0
sub24_PICTURE_530.wav,1426,HIGH,sub24,1,1,6,Category,27,PICTURE_530,barrière,barrière,constructions,0,,0,0,0,0
sub17_PICTURE_530.wav,1470.2,HIGH,sub17,1,1,6,Category,27,PICTURE_530,barrière,barrière,constructions,0,,0,0,0,0
sub13_PICTURE_248.wav,714.9,HIGH,sub13,1,1,5,Category,86,PICTURE_248,charrette,charrette,véhicules,0,,0,0,0,0
sub12_PICTURE_248.wav,1964,HIGH,sub12,1,1,5,Category,86,PICTURE_248,charrette,brouette,véhicules,0,SEM1,0,1,1,0
sub18_PICTURE_42.wav,915.7,LOW,sub18,1,2,6,Basic,317,PICTURE_42,poire,poire,fruits,0,,0,0,0,0
sub06_PICTURE_132.wav,959.9,LOW,sub06,1,2,1,Basic,155,PICTURE_132,étiquette,étiquette,accessoires,0,,0,0,0,0
sub19_PICTURE_42.wav,974.6,LOW,sub19,1,2,6,Basic,317,PICTURE_42,poire,poire,fruits,0,,0,0,0,0
sub02_PICTURE_95.wav,829.1,HIGH,sub02,1,2,2,Category,434,PICTURE_95,valise,valise,accessoires,0,,0,0,0,0
sub16_PICTURE_95.wav,862.2,HIGH,sub16,1,2,2,Category,434,PICTURE_95,valise,valise,accessoires,0,,0,0,0,0
sub03_PICTURE_95.wav,902.8,HIGH,sub03,1,2,2,Category,434,PICTURE_95,valise,valise,accessoires,0,,0,0,0,0
sub07_PICTURE_95.wav,924.9,HIGH,sub07,1,2,2,Category,434,PICTURE_95,valise,valise,accessoires,0,,0,0,0,0
sub05_PICTURE_95.wav,1507.1,HIGH,sub05,1,2,2,Category,434,PICTURE_95,valise,valise,accessoires,0,,0,0,0,0
sub13_PICTURE_466.wav,939.6,HIGH,sub13,1,2,5,Basic,205,PICTURE_466,juge,juge,professions,0,,0,0,0,0
sub12_PICTURE_466.wav,1274.9,HIGH,sub12,1,2,5,Basic,205,PICTURE_466,juge,avocat,professions,0,SEM1,0,1,1,0
sub14_PICTURE_466.wav,1429.7,HIGH,sub14,1,2,5,Basic,205,PICTURE_466,juge,avocat,professions,0,SEM1,0,1,1,0
sub11_PICTURE_466.wav,1676.6,HIGH,sub11,1,2,5,Basic,205,PICTURE_466,juge,juge,professions,0,,0,0,0,0
sub21_PICTURE_87.wav,1092.5,LOW,sub21,1,2,4,Basic,348,PICTURE_87,robot,robot,appareilles électronique,0,,0,0,0,0
sub22_PICTURE_87.wav,1169.9,LOW,sub22,1,2,4,Basic,348,PICTURE_87,robot,robot,appareilles électronique,0,,0,0,0,0
sub20_PICTURE_87.wav,1228.9,LOW,sub20,1,2,4,Basic,348,PICTURE_87,robot,robot,appareilles électronique,0,,0,0,0,0
sub23_PICTURE_132.wav,1236.2,LOW,sub23,1,2,1,Basic,155,PICTURE_132,étiquette,étiquette,accessoires,0,,0,0,0,0
sub24_PICTURE_42.wav,1335.7,LOW,sub24,1,2,6,Basic,317,PICTURE_42,poire,poire,fruits,0,,0,0,0,0
sub17_PICTURE_42.wav,1505.2,LOW,sub17,1,2,6,Basic,317,PICTURE_42,poire,poire,fruits,0,,0,0,0,0
sub04_PICTURE_132.wav,1711.6,LOW,sub04,1,2,1,Basic,155,PICTURE_132,étiquette,étiquette,accessoires,0,,0,0,0,0
sub01_PICTURE_132.wav,1965.8,LOW,sub01,1,2,1,Basic,155,PICTURE_132,étiquette,étiquette,accessoires,0,,0,0,0,0
sub10_PICTURE_278.wav,818,HIGH,sub10,1,2,3,Category,392,PICTURE_278,tambour,tambour,instruments de musique,0,,0,0,0,0
sub09_PICTURE_278.wav,843.8,HIGH,sub09,1,2,3,Category,392,PICTURE_278,tambour,tambour,instruments de musique,0,,0,0,0,0
sub08_PICTURE_278.wav,1057.5,HIGH,sub08,1,2,3,Category,392,PICTURE_278,tambour,tambour,instruments de musique,0,,0,0,0,0
sub15_PICTURE_278.wav,1190.4,HIGH,sub15,1,2,3,Category,392,PICTURE_278,tambour,tambour,instruments de musique,0,,0,0,0,0
sub13_PICTURE_285.wav,657.7,LOW,sub13,1,3,5,Category,68,PICTURE_285,carotte,carotte,nourriture,0,,0,0,0,0
sub11_PICTURE_285.wav,775.6,LOW,sub11,1,3,5,Category,68,PICTURE_285,carotte,carotte,nourriture,0,,0,0,0,0
sub14_PICTURE_285.wav,923,LOW,sub14,1,3,5,Category,68,PICTURE_285,carotte,carotte,nourriture,0,,0,0,0,0
sub12_PICTURE_285.wav,974.6,LOW,sub12,1,3,5,Category,68,PICTURE_285,carotte,carotte,nourriture,0,,0,0,0,0
sub17_PICTURE_791.wav,1284.1,LOW,sub17,1,3,6,Basic,385,PICTURE_791,stéréo,post,appareilles électronique,1,SYN,0,0,1,0
sub09_PICTURE_72.wav,818,HIGH,sub09,1,3,3,Category,175,PICTURE_72,fromage,fromage,nourriture,0,,0,0,0,0
sub10_PICTURE_72.wav,832.8,HIGH,sub10,1,3,3,Category,175,PICTURE_72,fromage,fromage,nourriture,0,,0,0,0,0
sub07_PICTURE_72.wav,921.2,HIGH,sub07,1,3,2,Basic,175,PICTURE_72,fromage,fromage,nourriture,0,,0,0,0,0
sub08_PICTURE_72.wav,939.6,HIGH,sub08,1,3,3,Category,175,PICTURE_72,fromage,fromage,nourriture,0,,0,0,0,0
sub03_PICTURE_72.wav,1013.3,HIGH,sub03,1,3,2,Basic,175,PICTURE_72,fromage,fromage,nourriture,0,,0,0,0,0
sub15_PICTURE_72.wav,1024.4,HIGH,sub15,1,3,3,Category,175,PICTURE_72,fromage,fromage,nourriture,0,,0,0,0,0
sub16_PICTURE_72.wav,1024.4,HIGH,sub16,1,3,2,Basic,175,PICTURE_72,fromage,fromage,nourriture,0,,0,0,0,0
sub02_PICTURE_72.wav,1134.9,HIGH,sub02,1,3,2,Basic,175,PICTURE_72,fromage,fromage,nourriture,0,,0,0,0,0
sub05_PICTURE_72.wav,1717.1,HIGH,sub05,1,3,2,Basic,175,PICTURE_72,fromage,gateau,nourriture,0,INCORRECT,0,0,1,0
sub22_PICTURE_656.wav,1127.6,HIGH,sub22,1,3,4,Basic,303,PICTURE_656,pile,pile,appareilles électronique,0,,0,0,0,0
sub21_PICTURE_656.wav,1190.2,HIGH,sub21,1,3,4,Basic,303,PICTURE_656,pile,pile,appareilles électronique,0,,0,0,0,0
sub20_PICTURE_656.wav,1322.8,HIGH,sub20,1,3,4,Basic,303,PICTURE_656,pile,pile,appareilles électronique,0,,0,0,0,0
sub19_PICTURE_791.wav,2503,LOW,sub19,1,3,6,Basic,385,PICTURE_791,stéréo,enceinte,appareilles électronique,1,HES,0,0,1,0
sub06_PICTURE_424.wav,1466.6,HIGH,sub06,1,3,1,Basic,288,PICTURE_424,parking,parking,constructions,0,,0,0,0,0
sub01_PICTURE_424.wav,1584.5,HIGH,sub01,1,3,1,Basic,288,PICTURE_424,parking,parking,constructions,0,,0,0,0,0
sub04_PICTURE_424.wav,1860.8,HIGH,sub04,1,3,1,Basic,288,PICTURE_424,parking,garage,constructions,0,SEM1,0,1,1,0
sub23_PICTURE_424.wav,2350.9,HIGH,sub23,1,3,1,Basic,288,PICTURE_424,parking,parking,constructions,0,,0,0,0,0
sub18_PICTURE_791.wav,1286,HIGH,sub18,1,3,6,Basic,385,PICTURE_791,stéréo,radio,appareilles électronique,1,,0,0,0,0
sub24_PICTURE_791.wav,1308.1,HIGH,sub24,1,3,6,Basic,385,PICTURE_791,stéréo,radio,appareilles électronique,1,SYN,0,0,0,0
sub16_PICTURE_309.wav,674.3,HIGH,sub16,1,4,2,Basic,181,PICTURE_309,glace,glace,nourriture,0,,0,0,0,0
sub15_PICTURE_309.wav,729.6,HIGH,sub15,1,4,3,Category,181,PICTURE_309,glace,glace,nourriture,0,,0,0,0,0
sub08_PICTURE_309.wav,784.9,HIGH,sub08,1,4,3,Category,181,PICTURE_309,glace,glace,nourriture,0,,0,0,0,0
sub03_PICTURE_309.wav,803.3,HIGH,sub03,1,4,2,Basic,181,PICTURE_309,glace,glace,nourriture,0,,0,0,0,0
sub02_PICTURE_309.wav,829.1,HIGH,sub02,1,4,1,Basic,181,PICTURE_309,glace,glace,nourriture,0,,0,0,0,0
sub10_PICTURE_309.wav,829.1,HIGH,sub10,1,4,3,Category,181,PICTURE_309,glace,glace,nourriture,0,,0,0,0,0
sub09_PICTURE_309.wav,884.4,HIGH,sub09,1,4,3,Category,181,PICTURE_309,glace,glace,nourriture,0,,0,0,0,0
sub07_PICTURE_309.wav,958,HIGH,sub07,1,4,2,Basic,181,PICTURE_309,glace,glace,nourriture,0,,0,0,0,0
sub05_PICTURE_309.wav,1249.1,HIGH,sub05,1,4,2,Basic,181,PICTURE_309,glace,glace,nourriture,0,,0,0,0,0
sub17_PICTURE_407.wav,969.1,HIGH,sub17,1,4,6,Basic,252,PICTURE_407,montagne,montagne,nature,0,,0,0,0,0
sub19_PICTURE_407.wav,1249.1,HIGH,sub19,1,4,6,Basic,252,PICTURE_407,montagne,montagne,nature,0,,0,0,0,0
sub18_PICTURE_407.wav,1352.3,HIGH,sub18,1,4,6,Basic,252,PICTURE_407,montagne,montagne,nature,0,,0,0,0,0
sub24_PICTURE_407.wav,1610.3,HIGH,sub24,1,4,6,Basic,252,PICTURE_407,montagne,montagne,nature,0,,0,0,0,0
sub13_PICTURE_175.wav,847.5,HIGH,sub13,1,4,5,Basic,295,PICTURE_175,peintre,peintre,professions,0,,0,0,0,0
sub14_PICTURE_175.wav,1212.3,HIGH,sub14,1,4,5,Basic,295,PICTURE_175,peintre,peintre,professions,0,,0,0,0,0
sub11_PICTURE_175.wav,1485,HIGH,sub11,1,4,5,Basic,295,PICTURE_175,peintre,peintre,professions,0,,0,0,0,0
sub12_PICTURE_175.wav,1742.9,HIGH,sub12,1,4,5,Basic,295,PICTURE_175,peintre,peintre,professions,0,,0,0,0,0
sub01_PICTURE_772.wav,1394.7,LOW,sub01,1,4,1,Category,162,PICTURE_772,feutre,feutre,papeterie,1,,0,0,0,0
sub20_PICTURE_771.wav,1348.6,HIGH,sub20,1,4,4,Basic,310,PICTURE_771,planche à découper,planche à découper,ustensiles de cuisine,1,,0,0,0,0
sub21_PICTURE_771.wav,1569.7,HIGH,sub21,1,4,4,Basic,310,PICTURE_771,planche à découper,planche,ustensiles de cuisine,1,,0,0,0,0
sub22_PICTURE_771.wav,2336.2,HIGH,sub22,1,4,4,Basic,310,PICTURE_771,planche à découper,planche à découper,ustensiles de cuisine,1,,0,0,0,0
sub04_PICTURE_772.wav,1741.1,LOW,sub04,1,4,1,Category,162,PICTURE_772,feutre,surligneur,papeterie,1,SYN,0,0,1,0
sub06_PICTURE_772.wav,1962.2,LOW,sub06,1,4,1,Category,162,PICTURE_772,feutre,feutre,papeterie,1,,0,0,0,0
sub23_PICTURE_772.wav,2636.5,LOW,sub23,1,4,1,Category,162,PICTURE_772,feutre,marqueur,papeterie,1,SYN,0,0,1,0
sub23_PICTURE_583.wav,998.6,HIGH,sub23,1,5,1,Basic,28,PICTURE_583,bateau,bateau,véhicules,0,,0,0,0,0
sub01_PICTURE_583.wav,1090.7,HIGH,sub01,1,5,1,Basic,28,PICTURE_583,bateau,bateau,véhicules,0,,0,0,0,0
sub06_PICTURE_583.wav,1330.2,HIGH,sub06,1,5,1,Basic,28,PICTURE_583,bateau,bateau,véhicules,0,,0,0,0,0
sub04_PICTURE_583.wav,1411.3,HIGH,sub04,1,5,1,Basic,28,PICTURE_583,bateau,navire,véhicules,0,SYN,0,0,1,0
sub20_PICTURE_280.wav,1142.3,HIGH,sub20,1,5,4,Basic,121,PICTURE_280,cou,cou,parties du corps,0,,0,0,0,0
sub22_PICTURE_280.wav,1547.6,HIGH,sub22,1,5,4,Basic,121,PICTURE_280,cou,cou,parties du corps,0,,0,0,0,0
sub21_PICTURE_280.wav,1750.3,HIGH,sub21,1,5,4,Basic,121,PICTURE_280,cou,cou,parties du corps,0,,0,0,0,0
sub02_PICTURE_808.wav,1041,LOW,sub02,1,5,2,Basic,41,PICTURE_808,bouilloire,bouilloire,ustensiles de cuisine,1,,0,0,0,0
sub10_PICTURE_543.wav,877,HIGH,sub10,1,5,3,Basic,365,PICTURE_543,sein,sein,parties du corps,0,,0,0,0,0
sub08_PICTURE_543.wav,1105.4,HIGH,sub08,1,5,3,Basic,365,PICTURE_543,sein,sein,parties du corps,0,,0,0,0,0
sub09_PICTURE_543.wav,1112.8,HIGH,sub09,1,5,3,Basic,365,PICTURE_543,sein,sein,parties du corps,0,,0,0,0,0
sub15_PICTURE_543.wav,1514.5,HIGH,sub15,1,5,3,Basic,365,PICTURE_543,sein,sein,parties du corps,0,,0,0,0,0
sub24_PICTURE_391.wav,932.3,HIGH,sub24,1,5,6,Category,79,PICTURE_391,chaîne,chaîne,outils,0,,0,0,0,0
sub17_PICTURE_391.wav,994.9,HIGH,sub17,1,5,6,Category,79,PICTURE_391,chaîne,chaîne,outils,0,,0,0,0,0
sub18_PICTURE_391.wav,1020.7,HIGH,sub18,1,5,6,Category,79,PICTURE_391,chaîne,chaîne,outils,0,,0,0,0,0
sub19_PICTURE_391.wav,1020.7,HIGH,sub19,1,5,6,Category,79,PICTURE_391,chaîne,chaîne,outils,0,,0,0,0,0
sub03_PICTURE_808.wav,1567.9,LOW,sub03,1,5,2,Basic,41,PICTURE_808,bouilloire,cruche,ustensiles de cuisine,1,SEM1,0,1,1,0
sub07_PICTURE_808.wav,1604.7,LOW,sub07,1,5,2,Basic,41,PICTURE_808,bouilloire,bouilloire,ustensiles de cuisine,1,,0,0,0,0
sub13_PICTURE_384.wav,600.6,HIGH,sub13,1,5,5,Category,170,PICTURE_384,four,four,appareilles électronique,0,,0,0,0,0
sub11_PICTURE_384.wav,972.8,HIGH,sub11,1,5,5,Category,170,PICTURE_384,four,four,appareilles électronique,0,,0,0,0,0
